,listing_id,id,reviewer_id,date,confidence,language,language_encoded,english_review,Polarity,Subjectivity
0,253877,37963624,31501772,2015-07-12,1.0,en,en,"Lovely little apartment, perfect for solo travellers. In a great central location close to Moulin Rouge and Sacre Coeur, and within easy walking distance of a metro station. The apartment was exactly as described, clean and with everything you could want. ",0.3953125,0.629166666667
1,253877,38688744,26077991,2015-07-18,1.0,en,en,My stay in Paris was fantastic and it was in a large way due to this amazing apartment of Alains. I never met him face to face but any questions I had he answered in a heartbeat. Thank you Alain! ,0.309821428571,0.650892857143
2,253877,39473358,15090539,2015-07-24,1.0,en,en,Alain is the best host! He has everything prepared for you to discover Paris like a parisian. He showed me which places to go and which to avoid even kept me updated about changes in the metro lines. If I ever get back I'm definitely contacting Alain.,0.333333333333,0.266666666667
3,253877,40427272,22048470,2015-07-31,1.0,en,en,"Perfect size for a solo traveller, convenient location near the subway. Flat was comfortably furnished as well. ",0.36875,0.58125
4,253877,44289309,34154809,2015-08-25,1.0,ko,ko,"It is just the right size for traveling alone. The bed, the toilet and the kitchen were satisfactory. Alain was not able to see him personally, but he was guided by his friend. He was so kind. Hehe, but he was too tough to lift up to the hostel because he did not have a lift.",0.035582010582,0.532341269841
5,253877,45581715,40203947,2015-09-04,1.0,en,en,"Great stay for the price!  The apartment was exactly as described and as it appeared in pictures -- even a little bigger than I was expecting for the price.  Traveled as a single woman and found the neighborhood to be very safe with everything you might need within steps of the door -- restaurants, bars, cafes, ATM, grocery, pharmacy, etc.  About a 40-50 minute walk to all of the main sights or a quick metro ride away.    ",0.267633928571,0.462202380952
6,253877,45966051,6888456,2015-09-07,1.0,fr,fr,"Certainly my best location in Paris, location, charm of the place, well equipped, very clean, flexible on check in / checkout",0.738333333333,0.605
7,253877,46576015,13730039,2015-09-12,1.0,en,en,"Beautiful little apartment. Perfect for a solo traveller. Up a few stairs so pack lightly or have a backpack. I didn't personally meet Alain but he was wonderful to communicate with and his friend Omar who showed me up to the apartment was lovely! The location is great, just up the road from the metro and close to lots of types of shops. Will be back next time I'm in Paris!! ",0.389772727273,0.554545454545
8,253877,47139898,10461131,2015-09-16,1.0,en,en,Alain apartment was as described and true to the pictures. It has all the essentials for a solo traveller and in a good location for wondering around Montmartre area and beyond. Walking distance to metro in 7 minutes ,0.525,0.625
9,253877,48596889,4966836,2015-09-27,1.0,en,en,"Alain (through email) and Omar (in person) were helpful and kind but not pushy. The place is tres cosy, but perfect for me, solo traveller and very conveniently located for those wanting to stay in Montmartre. It is great value for Paris. Note the apartment is four flights up a winding staircase - not great for heavy roller bags. Mine was okay, but I only had to carry it down - Omar carried it up for me!",0.256172839506,0.665432098765
10,253877,49757083,20924583,2015-10-06,1.0,en,en,"The cutest little studio, great location, all the amenities required for a great stay in Paris,  and Alain's lovely friend, Paolo, quickly came to the rescue when a neighbouring internet connection was causing issues. If I get back to Paris this is where I'll be!
Thanks Alain!",0.356547619048,0.492857142857
11,253877,50619084,20611160,2015-10-13,1.0,en,en,Alain's studio was well located and very comfortable. Perfect for a solo traveler. ,0.76,1.0
12,253877,52819991,28233928,2015-11-02,1.0,en,en,"Alain was very flexible when it came to my check-in (I arrived around 10 pm) - he arranged it with Omar to let me in the apartament. Omar was very helpfull, explained how everything worked and showed me everything.
The studio itself lokked exactly as in pictures: cozy and cute. At first glance it seemed a ad small, but the furniture is well spaced and one can even do some workout on the floor. It contained almost everything one can imagine and was perfect for a solo traveler.
The location is really close to a metro station. It is surrounded by all of the well known Amelia locations and the food in Rue Lepic (just around the corner) is suppossed to be the best in the whole Paris. I strongly reccommend taking a guided tour around Montmartre as it will make one truly see the beaty of this neighbourhood.
All in all, Alain gets a solid 10 out of 10 from me.",0.291025641026,0.466666666667
13,253877,53126687,45389481,2015-11-05,1.0,en,en,"Although Alain was not there when I arrived, his friend Omar was very nice and helpful. For this being my first time using Airbnb, I think it was a good experience. As a female student traveling alone, this listing was perfectly sized, equipped, and maintained to meet any standards. However, I would like to make a notation on the location. While this listing is in a very nice part of Monmartre, be aware that the area where the closest Metro stop is located is a licentious part of Paris. Walking around there, being a young woman, was not pleasant, and this is definitely not an area for children. However, none of that can be attributed to Alain's listing; everything was fine there!",0.367847222222,0.634722222222
14,253877,53752593,34338688,2015-11-12,1.0,it,it,"Small apartment really delightful! Very welcoming and warm, in an exceptional location, close to the metro and in an area full of shops and restaurants but at the same time in a very quiet and safe street. Omar, on behalf of Alain, was very helpful, my arrival has been moved many hours due to flight delays, but he was very kind and helpful. The apartment is very clean and there is everything it needs, including coffee machine and kettle.",0.349880952381,0.570952380952
15,253877,62890556,97923,2016-02-18,1.0,fr,fr,"Thank you Alain. I rented the studio for an American friend visiting Paris, it was exactly what she wanted, comfortable, clean, quiet, warm, very welcome, to recommend. I am looking for a good place to stay in Paris, it was exactly what she was looking for, comfortable, clean, quiet, warm, very welcoming, to recommend.",0.366666666667,0.519047619048
16,253877,64437178,49891843,2016-03-04,1.0,en,en,"I took the apartment so I could spend a week in Paris visiting our daughter.  The apartment was wonderful and I had a great time!  Alain is a great host and he checked in to make sure everything was ok!  It was very easy to get to the apartment, the metro is steps away.  It’s in a great location in the middle of Montmartre with many great restaurants right outside the door to the building. I felt immediately at home and part of the neighborhood.  The apartment is very clean, comfortable and convenient.   I can’t wait to stay there again and see more of the area especially the Tibetan restaurant on rue Lepic!    I could not have asked for better.  ",0.51474789916,0.6579178338
17,253877,64950080,33684013,2016-03-09,1.0,en,en,"I spent a very nice weekend in Alain's apartment in Montmartre. Although not large, it's a cozy modern space, very bright, well-equipped and close to lots of metro stops, sights and restaurants-- perfect for a solo traveler.  Despite my late arrival, the check in was easy and there were lots of helpful maps, restaurant recommendations, and transportation information sheets in the apartment. When I had some problems with the electricity, Alain responded quickly and was very helpful and friendly. I would definitely stay here again!",0.271117216117,0.600915750916
18,253877,66508291,7341609,2016-03-22,1.0,en,en,"It is the perfect studio if you are travelling on your own. Although I did not meet him, it was very easy to communicate with Alain. His friend Omar was in charge  of giving me the key of the flat and show me the place and he was really nice and friendly. The flat is located in Montmartre only a few minutes from the Moulin Rouge or the Sacré Cœur Basilica. The flat was as described and very clean and cosy. ",0.278333333333,0.657083333333
19,253877,66835845,34415389,2016-03-25,1.0,fr,fr,Very nice studio with an adorable and very attentive host. I&#39;ll be back as soon as I can!,0.45,0.75
20,253877,67492417,7354110,2016-03-29,1.0,de,de,"Accommodation exactly as described - small but nice, just right for one person. The location is perfect: walking distance to the metro station Blanche, very easy to reach (for example from the Gare de Lyon, change once at the station &quot;Nation&quot;). Many small shops in the quarter, good food, two small supermarkets with longer opening hours in the evening just around the corner. The location is central and yet very quiet. The apartment is located in a secure environment. I did not meet Alain, but his replacement Omar was very friendly and prepared the apartment perfectly. Communication and key handover worked perfectly! I would like to stay here again for a few days at any time. Thank you very much.",0.317327380952,0.618952380952
21,253877,68079759,13217197,2016-04-02,1.0,en,en,"As always it was a pleasure to visit Paris. Alain's apartment is really well located in a fabulous area. Lot's of cafes, restaurants and bars close by and two Metro stations within easy walking distance. The apartment was exactly as advertised and provided everything I needed. I didn't meet Alain as he was away but arrangements to gain access via his friend were very smooth.",0.360666666667,0.586666666667
22,253877,70072937,27315221,2016-04-15,1.0,fr,fr,"Alain was very responsive and his neighbor Omar welcomed me at the announced schedule. The apartment is well maintained, quiet and ideally located for those who want to discover the charms of Montmartre. I felt like home !! Thank you!",0.4,0.544444444444
23,253877,72467900,5705167,2016-05-02,1.0,da,da,"Alain&#39;s friend Omar showed us the apartment and was very friendly. The location was perfect, and the apartment was nice but very small. There is no door between the kitchen and the toilet. The price was a little at the high end.",0.243095238095,0.601428571429
24,253877,77387049,48636821,2016-05-31,1.0,en,en,"My stay was just perfect. The studio is located on a quiet street just a few blocks from the metro and within walking distance of some lovely bistros and food shops. 
I arrived late in the evening and was greeted with smiles and felt quite at home. 

I travel alone so the space was a perfect size for me. Alain kept in touch throughout my  2 week stay and I always knew he was just a phone call away if I ever needed anything. The flat is cozy and secure and the walk up stairs help to work off all the calories of the wonderful pastries you can buy at the corner patisserie! 
I definitely recommend ",0.288636363636,0.614393939394
25,253877,79725703,2484757,2016-06-13,1.0,en,en,Great place and host. Alain was very easy to communicate. The apartment is in a great location. ,0.721111111111,0.833333333333
